Year,Year Half,Carrier,,PRTT,Wiretap Orders,Link
2021,0,T-Mobile,,23222,4140,https://www.t-mobile.com/news/_admin/uploads/2022/07/2021-Transparency-Report.pdf
2020,0,T-Mobile,,22218,4348,https://www.t-mobile.com/news/_admin/uploads/2021/07/2020-Transparency-Report.pdf
2019,0,T-Mobile,,13358,3223,https://www.t-mobile.com/news/_admin/uploads/2020/07/2019-Transparency-Report-3.pdf
2018,0,T-Mobile,,12896,3053,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2018.pdf
2017,0,T-Mobile,,13020,2968,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2017.pdf
2016,0,T-Mobile,,18380,5836,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2016.pdf
2015,0,T-Mobile,,16231,4454,https://www.t-mobile.com/news/_admin/uploads/2020/07/2019-Transparency-Report-3.pdf
2014,0,T-Mobile,,9916,3087,https://www.t-mobile.com/news/_admin/uploads/2020/04/NewTransparencyReport.pdf
2013,0,T-Mobile,,8595,2308,https://www.t-mobile.com/news/_admin/uploads/2020/04/NewTransparencyReport.pdf
,,,,,,
2022,2,Verizon,,3970,286,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2022,1,Verizon,,3961,313,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2021,2,Verizon,,3830,387,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2021,1,Verizon,,4242,415,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2020,2,Verizon,,4492,627,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2020,1,Verizon,,3721,612,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2019,1,Verizon,,3753,585,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-1H-2022.pdf
2019,2,Verizon,,3866,525,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-1H-2022.pdf
2018,2,Verizon,,3163,586,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2018,1,Verizon,,3787,645,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2017,2,Verizon,,3383,691,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2017,1,Verizon,,3241,722,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2016,2,Verizon,,2601,650,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2016,1,Verizon,,2870,656,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2015,2,Verizon,,2678,567,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2015,1,Verizon,,3325,767,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2014,2,Verizon,,3078,719,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2014,1,Verizon,,3300,714,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2013,2,Verizon,,3156,748,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2013,1,Verizon,,3156,721,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
,,,,,,
,,,,,,
2022,1,AT&T,Aug 2022 Jan.–June 2022,4328,917,https://about.att.com/content/dam/csr/2019/transparency/2022/2022-August_Transparency_Report.pdf
2021,2,AT&T,Feb 2022 July–Dec. 2021,4062,912,https://about.att.com/content/dam/csr/2023/Transparency2023/2H_2023-February_Transparency_Report.pdf
2020,2,AT&T,Feb 2021 July-Dec. 2020,3694,932,https://about.att.com/ecms/dam/csr/2019/transparency/2021/2021-February-Report.pdf
2021,1,AT&T,Aug 2021 Jan.–June 2021,3787,836,https://about.att.com/ecms/dam/csr/2019/transparency/2021/2021-August-Report.pdf
2019,2,AT&T,Feb 2020 July–Dec. 2019,3265,1162,https://about.att.com/ecms/dam/csr/2019/library/transparency/2020-February-Report.pdf
2020,1,AT&T,Aug 2020 Jan.–June 2020,3266,1019,https://about.att.com/ecms/dam/csr/2019/library/transparency/2020-August-Report.pdf
2018,1,AT&T,Feb 2019,2944,1137,https://about.att.com/ecms/dam/csr/2019/library/transparency/2019-February-Report.pdf
2018,2,AT&T,Feb 2019,3144,1140,https://about.att.com/ecms/dam/csr/2019/library/transparency/2019-February-Report.pdf
2017,1,AT&T,Feb 2018,3173,1219,https://about.att.com/ecms/dam/csr/2019/library/transparency/2018-February-Report.pdf
2017,2,AT&T,Feb 2018,2957,1127,https://about.att.com/ecms/dam/csr/2019/library/transparency/2018-February-Report.pdf
2016,1,AT&T,Jan-June,3412,1229,https://about.att.com/ecms/dam/csr/2019/library/transparency/2017-February-Report.pdf
2016,2,AT&T,July-Dec,3005,1135,https://about.att.com/ecms/dam/csr/2019/library/transparency/2017-February-Report.pdf
2015,1,AT&T,Jan-June,3640,1416,https://about.att.com/ecms/dam/csr/2019/library/transparency/2016-January-Report.pdf
2015,2,AT&T,July-Dec,3359,1306,https://about.att.com/ecms/dam/csr/2019/library/transparency/2016-January-Report.pdf
2014,1,AT&T,Jan-June,2536,1167,https://about.att.com/ecms/dam/csr/2019/library/transparency/2014-January-Report.pdf
2014,2,AT&T,July-Dec,3238,1253,https://about.att.com/ecms/dam/csr/2019/library/transparency/2014-January-Report.pdf
